set,empiar_id,stack,class_idx,n_particles,cryosift_score,geom_corruption_median,n_good_lines,view_group,true_view_spread_deg,is_single_view,projection_match,projection_peakedness,keep_cryosift_absolute,keep_cryosift_quantile
10532_cleaner_tri,10532,cleaner_tri,14,3354,5.506,0.7019,8,0,43.5,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,15,2982,4.095,0.6942,7,0,52.1,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,16,3281,2.946,0.6579,11,0,46.1,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,17,1950,4.449,0.7132,8,3,49.1,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,18,2246,1.629,0.6931,9,0,10.4,1,,,1,1
10532_cleaner_tri,10532,cleaner_tri,19,1909,5.013,0.6448,18,0,55.3,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,20,2100,4.639,0.6529,9,0,51.1,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,21,1906,1.481,0.6449,14,0,8.0,1,,,1,1
10532_cleaner_tri,10532,cleaner_tri,22,633,3.262,0.6692,9,0,26.0,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,23,1945,4.435,0.7035,11,0,51.7,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,24,1292,4.092,0.6651,7,0,42.1,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,25,2015,4.955,0.6816,7,4,50.0,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,26,722,1.876,0.6162,19,0,6.6,1,,,1,1
10532_cleaner_tri,10532,cleaner_tri,27,2262,5.549,0.6932,9,0,39.6,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,28,2112,5.102,0.6706,13,5,41.0,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,29,3063,2.975,0.6162,18,0,46.0,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,30,2962,5.691,0.7229,4,0,39.9,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,31,3301,1.834,0.6177,15,0,13.1,1,,,1,1
10532_cleaner_tri,10532,cleaner_tri,32,2660,1.664,0.6685,11,0,4.3,1,,,1,1
10532_cleaner_tri,10532,cleaner_tri,33,2441,1.519,0.6123,14,0,3.4,1,,,1,1
10532_cleaner_tri,10532,cleaner_tri,34,2023,4.600,0.6743,11,0,48.7,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,35,2071,4.935,0.6725,8,0,53.7,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,36,1450,4.522,0.7037,4,0,28.3,0,,,0,1
10532_cleaner_tri,10532,cleaner_tri,37,2173,5.439,0.6864,7,6,50.1,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,38,2907,5.263,0.6786,6,7,47.5,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,39,2029,5.283,0.7146,2,0,48.1,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,40,2738,1.528,0.6458,17,0,14.0,1,,,1,1
10532_cleaner_tri,10532,cleaner_tri,41,1755,4.545,0.6895,10,0,55.0,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,42,3253,5.546,0.6853,10,0,47.5,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,43,1563,4.273,0.6568,14,0,43.3,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,44,2123,4.498,0.6698,9,0,46.7,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,45,620,2.956,0.6621,14,0,16.8,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,46,3425,5.183,0.6854,13,0,43.1,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,47,1478,2.325,0.6198,18,0,20.7,0,,,1,1
10532_cleaner_tri,10532,cleaner_tri,48,2258,5.337,0.6454,15,0,49.3,0,,,0,0
10532_cleaner_tri,10532,cleaner_tri,49,2619,1.668,0.6264,16,0,5.0,1,,,1,1
